Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Mon, Mar 1, 2021;7:00p;Dallas Mavericks;130;Orlando Magic;124;Box Score;;3,766;
Mon, Mar 1, 2021;7:00p;Indiana Pacers;114;Philadelphia 76ers;130;Box Score;;0;
Mon, Mar 1, 2021;8:00p;Denver Nuggets;118;Chicago Bulls;112;Box Score;;0;
Mon, Mar 1, 2021;8:00p;Utah Jazz;124;New Orleans Pelicans;129;Box Score;;2,7;
Mon, Mar 1, 2021;8:30p;Brooklyn Nets;124;San Antonio Spurs;113;Box Score;OT;0;
Mon, Mar 1, 2021;9:00p;Cleveland Cavaliers;101;Houston Rockets;90;Box Score;;3,046;
Mon, Mar 1, 2021;10:30p;Charlotte Hornets;111;Portland Trail Blazers;123;Box Score;;0;
Tue, Mar 2, 2021;7:00p;Memphis Grizzlies;125;Washington Wizards;111;Box Score;;0;
Tue, Mar 2, 2021;7:30p;Los Angeles Clippers;112;Boston Celtics;117;Box Score;;0;
Tue, Mar 2, 2021;7:30p;Atlanta Hawks;94;Miami Heat;80;Box Score;;0;
Tue, Mar 2, 2021;8:30p;New York Knicks;93;San Antonio Spurs;119;Box Score;;0;
Tue, Mar 2, 2021;9:00p;Denver Nuggets;128;Milwaukee Bucks;97;Box Score;;1,8;
Tue, Mar 2, 2021;10:00p;Phoenix Suns;114;Los Angeles Lakers;104;Box Score;;0;
Wed, Mar 3, 2021;7:00p;Indiana Pacers;114;Cleveland Cavaliers;111;Box Score;;2,72;
Wed, Mar 3, 2021;7:00p;Utah Jazz;123;Philadelphia 76ers;131;Box Score;OT;0;
Wed, Mar 3, 2021;7:00p;Detroit Pistons;129;Toronto Raptors;105;Box Score;;0;
Wed, Mar 3, 2021;7:30p;Brooklyn Nets;132;Houston Rockets;114;Box Score;;3,615;
Wed, Mar 3, 2021;8:00p;Charlotte Hornets;135;Minnesota Timberwolves;102;Box Score;;0;
Wed, Mar 3, 2021;8:00p;Chicago Bulls;128;New Orleans Pelicans;124;Box Score;;2,7;
Wed, Mar 3, 2021;8:00p;Atlanta Hawks;115;Orlando Magic;112;Box Score;;3,969;
Wed, Mar 3, 2021;8:30p;Oklahoma City Thunder;78;Dallas Mavericks;87;Box Score;;3,508;
Wed, Mar 3, 2021;10:00p;Golden State Warriors;106;Portland Trail Blazers;108;Box Score;;0;
Wed, Mar 3, 2021;10:00p;Los Angeles Lakers;120;Sacramento Kings;123;Box Score;;0;
Thu, Mar 4, 2021;7:00p;Toronto Raptors;125;Boston Celtics;132;Box Score;;0;
Thu, Mar 4, 2021;7:00p;Los Angeles Clippers;117;Washington Wizards;119;Box Score;;0;
Thu, Mar 4, 2021;7:30p;Detroit Pistons;104;New York Knicks;114;Box Score;;1,981;
Thu, Mar 4, 2021;8:00p;Denver Nuggets;113;Indiana Pacers;103;Box Score;;0;
Thu, Mar 4, 2021;8:00p;Milwaukee Bucks;112;Memphis Grizzlies;111;Box Score;;1,961;
Thu, Mar 4, 2021;8:30p;Miami Heat;103;New Orleans Pelicans;93;Box Score;;2,7;
Thu, Mar 4, 2021;9:00p;Oklahoma City Thunder;107;San Antonio Spurs;102;Box Score;;1;
Thu, Mar 4, 2021;10:00p;Golden State Warriors;98;Phoenix Suns;120;Box Score;;3,233;
Thu, Mar 4, 2021;10:00p;Sacramento Kings;119;Portland Trail Blazers;123;Box Score;;0;
Wed, Mar 10, 2021;8:00p;Washington Wizards;112;Memphis Grizzlies;127;Box Score;;1,912;
Wed, Mar 10, 2021;8:30p;San Antonio Spurs;104;Dallas Mavericks;115;Box Score;;3,813;
