Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, May 1, 2021;7:00p;Detroit Pistons;94;Charlotte Hornets;107;Box Score;;3,766;
Sat, May 1, 2021;7:30p;Golden State Warriors;113;Houston Rockets;87;Box Score;;3,702;
Sat, May 1, 2021;8:00p;Chicago Bulls;97;Atlanta Hawks;108;Box Score;;3,053;
Sat, May 1, 2021;8:00p;Miami Heat;124;Cleveland Cavaliers;107;Box Score;;4,148;
Sat, May 1, 2021;8:00p;New Orleans Pelicans;140;Minnesota Timberwolves;136;Box Score;OT;1,638;
Sat, May 1, 2021;8:00p;Indiana Pacers;152;Oklahoma City Thunder;95;Box Score;;0;
Sat, May 1, 2021;8:00p;Memphis Grizzlies;111;Orlando Magic;112;Box Score;;3,924;
Sat, May 1, 2021;9:00p;Washington Wizards;124;Dallas Mavericks;125;Box Score;;4,351;
Sat, May 1, 2021;10:00p;Denver Nuggets;110;Los Angeles Clippers;104;Box Score;;2,818;
Sat, May 1, 2021;10:00p;Toronto Raptors;102;Utah Jazz;106;Box Score;;6,506;
Sun, May 2, 2021;3:30p;Brooklyn Nets;114;Milwaukee Bucks;117;Box Score;;3,28;
Sun, May 2, 2021;7:30p;Portland Trail Blazers;129;Boston Celtics;119;Box Score;;;
Sun, May 2, 2021;8:00p;Miami Heat;121;Charlotte Hornets;111;Box Score;;4,095;
Sun, May 2, 2021;8:00p;Sacramento Kings;111;Dallas Mavericks;99;Box Score;;4,268;
Sun, May 2, 2021;8:00p;New York Knicks;122;Houston Rockets;97;Box Score;;3,431;
Sun, May 2, 2021;8:00p;Phoenix Suns;123;Oklahoma City Thunder;120;Box Score;;0;
Sun, May 2, 2021;8:00p;Philadelphia 76ers;113;San Antonio Spurs;111;Box Score;OT;3,978;
Sun, May 2, 2021;10:00p;Toronto Raptors;121;Los Angeles Lakers;114;Box Score;;2,053;
Mon, May 3, 2021;7:00p;Orlando Magic;119;Detroit Pistons;112;Box Score;;750;
Mon, May 3, 2021;7:00p;Indiana Pacers;141;Washington Wizards;154;Box Score;;0;
Mon, May 3, 2021;7:30p;Golden State Warriors;123;New Orleans Pelicans;108;Box Score;;3,7;
Mon, May 3, 2021;8:00p;Portland Trail Blazers;114;Atlanta Hawks;123;Box Score;;3,091;
Mon, May 3, 2021;9:00p;Philadelphia 76ers;106;Chicago Bulls;94;Box Score;;0;
Mon, May 3, 2021;9:00p;New York Knicks;118;Memphis Grizzlies;104;Box Score;;2,789;
Mon, May 3, 2021;10:00p;Denver Nuggets;89;Los Angeles Lakers;93;Box Score;;2,454;
Mon, May 3, 2021;10:00p;San Antonio Spurs;99;Utah Jazz;110;Box Score;;6,506;
Tue, May 4, 2021;7:00p;Phoenix Suns;134;Cleveland Cavaliers;118;Box Score;OT;4,148;
Tue, May 4, 2021;7:00p;Charlotte Hornets;102;Detroit Pistons;99;Box Score;;750;
Tue, May 4, 2021;7:30p;Brooklyn Nets;118;Milwaukee Bucks;124;Box Score;;3,28;
Tue, May 4, 2021;8:00p;Dallas Mavericks;127;Miami Heat;113;Box Score;;0;
Tue, May 4, 2021;8:00p;Golden State Warriors;103;New Orleans Pelicans;108;Box Score;;3,7;
Tue, May 4, 2021;8:00p;Sacramento Kings;103;Oklahoma City Thunder;99;Box Score;;0;
Tue, May 4, 2021;10:00p;Toronto Raptors;100;Los Angeles Clippers;105;Box Score;;1,714;
Wed, May 5, 2021;7:00p;Boston Celtics;132;Orlando Magic;96;Box Score;;0;
Wed, May 5, 2021;7:30p;Portland Trail Blazers;141;Cleveland Cavaliers;105;Box Score;;4,148;
Wed, May 5, 2021;8:00p;Phoenix Suns;103;Atlanta Hawks;135;Box Score;;3,205;
Wed, May 5, 2021;8:00p;Philadelphia 76ers;135;Houston Rockets;115;Box Score;;3,583;
Wed, May 5, 2021;8:00p;Sacramento Kings;104;Indiana Pacers;93;Box Score;;0;
Wed, May 5, 2021;8:00p;Washington Wizards;134;Milwaukee Bucks;135;Box Score;;3,28;
Wed, May 5, 2021;8:00p;Memphis Grizzlies;139;Minnesota Timberwolves;135;Box Score;;1,436;
Wed, May 5, 2021;9:00p;New York Knicks;97;Denver Nuggets;113;Box Score;;4,038;
Wed, May 5, 2021;9:00p;San Antonio Spurs;94;Utah Jazz;126;Box Score;;6,506;
Thu, May 6, 2021;7:00p;Chicago Bulls;120;Charlotte Hornets;99;Box Score;;3,769;
Thu, May 6, 2021;7:30p;Brooklyn Nets;109;Dallas Mavericks;113;Box Score;;4,602;
Thu, May 6, 2021;7:30p;Washington Wizards;131;Toronto Raptors;129;Box Score;OT;2,494;
Thu, May 6, 2021;8:00p;Memphis Grizzlies;97;Detroit Pistons;111;Box Score;;750;
Thu, May 6, 2021;8:00p;Atlanta Hawks;126;Indiana Pacers;133;Box Score;;0;
Thu, May 6, 2021;10:00p;Oklahoma City Thunder;97;Golden State Warriors;118;Box Score;;3,621;
Thu, May 6, 2021;10:00p;Los Angeles Lakers;94;Los Angeles Clippers;118;Box Score;;3,275;
Fri, May 7, 2021;7:00p;New Orleans Pelicans;107;Philadelphia 76ers;109;Box Score;;5,119;
Fri, May 7, 2021;7:30p;Boston Celtics;99;Chicago Bulls;121;Box Score;;3,399;
Fri, May 7, 2021;8:00p;Orlando Magic;112;Charlotte Hornets;122;Box Score;;3,751;
Fri, May 7, 2021;8:00p;Minnesota Timberwolves;112;Miami Heat;121;Box Score;;0;
Fri, May 7, 2021;8:00p;Houston Rockets;133;Milwaukee Bucks;141;Box Score;;3,28;
Fri, May 7, 2021;8:30p;Cleveland Cavaliers;90;Dallas Mavericks;110;Box Score;;4,22;
Fri, May 7, 2021;9:00p;Denver Nuggets;120;Utah Jazz;127;Box Score;;6,506;
Fri, May 7, 2021;10:00p;New York Knicks;105;Phoenix Suns;128;Box Score;;8,063;
Fri, May 7, 2021;10:00p;Los Angeles Lakers;101;Portland Trail Blazers;106;Box Score;;0;
Fri, May 7, 2021;10:00p;San Antonio Spurs;113;Sacramento Kings;104;Box Score;;0;
Sat, May 8, 2021;7:00p;Washington Wizards;133;Indiana Pacers;132;Box Score;OT;0;
Sat, May 8, 2021;7:00p;Detroit Pistons;104;Philadelphia 76ers;118;Box Score;;5,119;
Sat, May 8, 2021;7:30p;Memphis Grizzlies;109;Toronto Raptors;99;Box Score;;0;
Sat, May 8, 2021;10:00p;Brooklyn Nets;125;Denver Nuggets;119;Box Score;;4,044;
Sat, May 8, 2021;10:00p;Oklahoma City Thunder;97;Golden State Warriors;136;Box Score;;4,155;
Sat, May 8, 2021;10:00p;San Antonio Spurs;102;Portland Trail Blazers;124;Box Score;;1,939;
Sat, May 8, 2021;10:00p;Houston Rockets;116;Utah Jazz;124;Box Score;;6,506;
Sun, May 9, 2021;1:00p;Miami Heat;130;Boston Celtics;124;Box Score;;2,298;
Sun, May 9, 2021;3:30p;New York Knicks;106;Los Angeles Clippers;100;Box Score;;2,578;
Sun, May 9, 2021;7:00p;New Orleans Pelicans;112;Charlotte Hornets;110;Box Score;;4,196;
Sun, May 9, 2021;7:00p;Dallas Mavericks;124;Cleveland Cavaliers;97;Box Score;;4,148;
Sun, May 9, 2021;7:00p;Minnesota Timberwolves;128;Orlando Magic;96;Box Score;;4,086;
