,mu,sigma,rank
Trae Young,10.431890863823549,3.853114204584348,2.725662454654853
John Collins,10.204449673378809,3.8261570063243715,2.552135660730066
Jabari Parker,8.323839490402593,3.4762697746861018,1.3712999410303892
Damian Jones,8.05200054618935,3.4003065064732882,1.2513875332427729
Alex Len,7.72829582244088,3.2997217469398024,1.1288523285612753
Tacko Fall,16.753609949806126,3.447083353717887,9.859443242370352
Robert Williams,15.97830491293659,3.400350365825448,9.177604181285695
Gordon Hayward,15.519759359224834,3.3699632614939294,8.779832836236974
Jaylen Brown,15.503949875717876,3.368876564025975,8.766196747665926
Jayson Tatum,13.970071451166307,3.24961022129704,7.470851008572227
Kyrie Irving,16.43840823982491,3.5006935262580576,9.437021187308794
Jarrett Allen,14.044587933201576,3.309760674408286,7.4250665843850046
Jamal Crawford,13.87407890618196,3.2927234197896005,7.2886320666027595
DeAndre Jordan,13.79307798966402,3.284451996684005,7.2241739962960105
Donta Hall,13.60899943128312,3.2652226842042733,7.078554062874574
Zach LaVine,11.386262462249668,3.6030501289246413,4.180162204400386
Daniel Gafford,9.022456911746787,3.3117962176403966,2.3988644764659934
"Wendell Carter Jr,",8.390055782670455,3.1958829716873973,1.9982898392956603
Lauri Markkanen,8.341991600441366,3.1861794169184967,1.9696327666043727
Otto Porter,8.284419138162715,3.1743773411865495,1.9356644557896159
Terry Rozier,13.616089769028488,3.1860401230361592,7.244009522956169
Devonte' Graham,13.287600884745551,3.1574221814131587,6.972756521919234
Cody Zeller,12.90891029133226,3.1224985480051477,6.663913195321965
"P,J, Washington",11.765553876000924,3.0031145064955354,5.759324863009853
Willy Hernangómez,11.579099159152891,2.98146811603903,5.616162927074831
Andre Drummond,11.583628469037007,3.6845042260516974,4.214620016933613
Collin Sexton,11.282498983461423,3.6383670015155762,4.00576498043027
Kevin Love,11.06045900767744,3.6025010292947774,3.855456949087886
Dean Wade,10.735529998971542,3.5470564028152176,3.6414171933411064
Jordan Clarkson,10.510700498040135,3.506551019272459,3.497598459495217
Luka Dončić,17.503950176392898,3.5986255971219085,10.306698982149081
Kristaps Porziņģis,11.998490170460322,3.3310161706243613,5.336457829211599
Willie Cauley-Stein,11.734428335349332,3.3095693482694886,5.115289638810355
Dwight Powell,11.690749699138589,3.3059005670009256,5.078948565136738
Seth Curry,10.383048120897689,3.1773102698629843,4.02842758117172
Nikola Jokić,17.09717028520641,3.416386889034736,10.264396507136937
Noah Vonleh,13.52825816644465,3.22197532337723,7.0843075196901895
Jamal Murray,13.512829471675964,3.22083666491778,7.071156141840404
Mason Plumlee,12.731578962715913,3.158708131651198,6.4141626994135175
Will Barton,12.352349347833304,3.1251250453958472,6.102099257041609
Christian Wood,11.90016303470746,3.4732295624248306,4.953703909857798
Derrick Rose,11.137111330276293,3.385520294741995,4.366070740792303
Luke Kennard,10.275994981236233,3.2673326630676316,3.7413296551009694
Reggie Jackson,9.349909939953378,3.1131345649116606,3.1236408101300563
Markieff Morris,8.840716787550482,3.014596712125586,2.81152336329931
D'Angelo Russell,13.395693303774571,3.6945194396049907,6.00665442456459
Stephen Curry,12.9720069041473,3.635236133828328,5.701534636490644
Andrew Wiggins,12.429390758084368,3.552286418482182,5.324817921120005
Marquese Chriss,11.41556547759888,3.3759387448894174,4.663687987820046
Alec Burks,11.275588089569235,3.349422811873706,4.576742465821822
James Harden,16.547073425497207,3.598522859459997,9.350027706577212
Russell Westbrook,13.370457246409376,3.44731996874633,6.475817308916716
Clint Capela,12.126181041835427,3.3535308045644627,5.419119432706501
Jeff Green,11.294277066760353,3.2741498768988704,4.745977312962612
Tyson Chandler,10.346356854984565,3.162690292787925,4.020976269408715
"T,J, Warren",16.26589980806508,3.3562012953928027,9.553497217279475
Domantas Sabonis,15.608859797070954,3.3162690228386507,8.976321751393652
Malcolm Brogdon,13.899773901738039,3.1919977731328237,7.515778355472391
Doug McDermott,12.132088758180153,3.0245389829831475,6.083010792213858
Jeremy Lamb,12.115898745181642,3.022786100808995,6.070326543563652
Kawhi Leonard,18.720010035333008,3.5623787577318953,11.595252519869216
Montrezl Harrell,16.51950695634492,3.4421006471924662,9.635305661959986
Paul George,15.970962730893735,3.4050341956822847,9.160894339529165
